Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards
1990,97.0,Zandalee,Drama,"Cage, Nicolas","Anderson, Erika","Pillsbury, Sam",80.0,No
1988,108.0,Miles from Home,Drama,"Anderson, Kevin","Anderson, Jo","Sinise, Gary",53.0,No
1980,120.0,Happy Birthday to Me,Horror,"Ford, Glenn","Anderson, Melissa Sue","Thompson, J. Lee",88.0,No
1989,88.0,Final Notice,Mystery,"Gerard, Gil","Anderson, Melody","Stern, Steven Hilliard",88.0,No
1979,110.0,Quintet,Drama,"Newman, Paul","Andersson, Bibi","Altman, Robert",19.0,No
1960,90.0,The Devil's Eye,Drama,"Kulle, Jarl","Andersson, Bibi","Bergman, Ingmar",20.0,No
1957,91.0,Wild Strawberries,Drama,"Sjöström, Victor","Andersson, Bibi","Bergman, Ingmar",42.0,Yes
1956,96.0,The Seventh Seal,Drama,"Sydow, Max von","Andersson, Bibi","Bergman, Ingmar",62.0,No
1992,90.0,Germicide,Drama,"Taylor, Rod","Andersson, Bibi",Unknown,36.0,No
1955,86.0,Dreams,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",14.0,No
1955,95.0,The Naked Night,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",38.0,No
1962,91.0,Through a Glass Darkly,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",64.0,Yes
1972,91.0,Cries & Whispers,Drama,"Josephson, Erland","Andersson, Harriet","Bergman, Ingmar",18.0,Yes
1958,104.0,The Barbarian & the Geisha,Action,"Wayne, John","Ando, Eiko","Huston, John",52.0,No
1967,130.0,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken",11.0,No
1962,120.0,Dr. No,Action,"Connery, Sean","Andress, Ursula","Young, Terence",7.0,No
1954,103.0,Elephant Walk,Drama,"Finch, Peter","Andrews, Dana",Unknown,11.0,No
1979,121.0,Ten,Comedy,"Moore, Dudley","Andrews, Julie","Edwards, Blake",60.0,No
1983,118.0,The Man Who Loved Women,Comedy,"Reynolds, Burt","Andrews, Julie","Edwards, Blake",67.0,No
1966,190.0,Hawaii,Drama,"Sydow, Max von","Andrews, Julie","Hill, George Roy",8.0,No
1966,125.0,Torn Curtain,Mystery,"Newman, Paul","Andrews, Julie","Hitchcock, Alfred",35.0,No
1986,107.0,Duet for One,Drama,"Bates, Alan","Andrews, Julie","Konchalovsky, Andrei",82.0,No
1965,172.0,The Sound of Music,Music,"Plummer, Christopher","Andrews, Julie","Wise, Robert",59.0,Yes
1985,55.0,Gonzo Presents Muppet Weird Stuff,Comedy,"Cleese, John","Andrews, Julie",Unknown,88.0,No
1984,140.0,Tartuffe,Comedy,"Depardieu, Gérard","Annen, Paule","Depardieu, Gérard",67.0,No
1988,104.0,A New Life,Comedy,"Alda, Alan",Ann-Margret,"Alda, Alan",53.0,No
1978,106.0,Magic,Mystery,"Hopkins, Anthony",Ann-Margret,"Attenborough, Richard",85.0,No
1992,286.0,Tommy,Music,"Daltry, Roger",Ann-Margret,"Russell, Ken",5.0,No
1978,108.0,The Big Fix,Mystery,"Dreyfuss, Richard","Anspach, Susan","Kagan, Jeremy Paul",19.0,No
1992,95.0,Alan & Naomi,Drama,"Haas, Lukas","Aquino, Vanessa","Vanwagenen, Sterling",3.0,No
1987,120.0,Fatal Attraction,Mystery,"Douglas, Michael","Archer, Anne","Lyne, Adrian",61.0,No
1992,117.0,Patriot Games,Action,"Ford, Harrison","Archer, Anne","Noyce, Phillip",28.0,No
1981,106.0,The Woman Next Door,Drama,"Depardieu, Gérard","Ardant, Fanny","Truffaut, François",82.0,No
1992,97.0,Hunting,Mystery,"Savage, John","Armstrong, Kerry","Howson, Frank",68.0,No
1991,115.0,Bataan,War,"Taylor, Robert","Arnaz, Desi",Unknown,68.0,No
1924,110.0,The Siegfried Nibelungenlied,Drama,"Richter, Paul","Arnold, Gertrud","Lang, Fritz",79.0,No
1991,90.0,"Henry, Portrait of a Serial Killer",Horror,"Rooker, Michael","Arnold, Tracy",Unknown,69.0,No
1988,118.0,The Big Blue,Drama,"Barr, Jean-Marc","Arquette, Rosanna","Besson, Luc",7.0,No
1991,115.0,Flight of the Intruder,Drama,"Glover, Danny","Arquette, Rosanna","Milius, John",51.0,No
1986,108.0,Nobody's Fool,Comedy,"Roberts, Eric","Arquette, Rosanna","Purcell, Evelyn",52.0,No
1985,97.0,After Hours,Comedy,"Dunne, Griffin","Arquette, Rosanna","Scorsese, Martin",81.0,No
1985,104.0,Desperately Seeking Susan,Comedy,"Quinn, Aidan","Arquette, Rosanna","Seidelman, Susan",41.0,No
1971,102.0,A New Leaf,Comedy,"Matthau, Walter","Arrick, Rose","May, Elaine",83.0,No
1959,91.0,Killers of Kilimanjaro,Action,"Taylor, Robert","Aslan, Gregoire","Thorpe, Richard",11.0,No
1926,126.0,Don Juan,Action,"Barrymore, John","Astor, Mary","Crosland, Alan",55.0,No
1987,102.0,Babette's Feast,Drama,"LaFont, Jean-Philippe","Audran, Stéphane","Axel, Gabriel",79.0,Yes
1989,118.0,"Vincent, Francois, Paul & the Others",Drama,"Montand, Yves","Audran, Stéphane",Unknown,20.0,No
1988,141.0,Thunderball,Action,"Connery, Sean","Auger, Claudine","Young, Terrence",8.0,No
1926,66.0,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur","Ault, Marie","Hitchcock, Alfred",76.0,No
1988,103.0,Appointment with Death,Mystery,"Ustinov, Peter","Bacall, Lauren","Donaggio, Michael Winner",75.0,No
1974,128.0,Murder on the Orient Express,Mystery,"Balsam, Martin","Bacall, Lauren","Lumet, Sidney",8.0,Yes
1955,115.0,Blood Alley,War,"Wayne, John","Bacall, Lauren","Wellman, William",15.0,No
1977,136.0,The Spy Who Loved Me,Action,"Moore, Roger","Bach, Barbara","Gilbert, Lewis",27.0,No
1988,100.0,Storm,Action,"Palfy, David","Bahtia, Stacy Christensen","Winning, David",61.0,No
1991,89.0,Bloodbath,Horror,"Hopper, Dennis","Baker, Carroll",Unknown,37.0,No
1989,103.0,Miami Cops,Action,"Roundtree, Richard","Baker, Dawn","Bradley, Al",40.0,No
1996,96.0,The Island of Dr. Moreau,Horror,"Thewlis, David","Balk, Fairuza","Frankenheimer, John",39.0,No
1992,100.0,Eighty-Four Charing Cross Road,Drama,"Hopkins, Anthony","Bancroft, Anne","Jones, David",9.0,No
1980,124.0,The Elephant Man,Drama,"Hopkins, Anthony","Bancroft, Anne","Lynch, David",3.0,Yes
1988,90.0,Dr Alien,Science Fiction,"Jacoby, Billy","Barash, Olivia","DeCoteau, David",70.0,No
1982,120.0,Creepshow,Horror,"Holbrook, Hal","Barbeau, Adrienne","Romero, George A.",70.0,No
1987,100.0,Sammy & Rosie Get Laid,Drama,"Din, Ayub Khan","Barber, Frances","Frears, Stephen",6.0,No
1971,101.0,The Goalie's Anxiety at the Penalty Kick,Drama,"Brauss, Arthur","Bardischewski, Maria","Wenders, Wim",62.0,No
1957,99.0,Mademoiselle Striptease,Comedy,"Gelin, Daniel","Bardot, Brigitte","Allegret, Marc",25.0,No
1969,86.0,The Women,Drama,"Ronet, Maurice","Bardot, Brigitte","Aurel, Jean",66.0,No
1958,77.0,That Naughty Girl,Comedy,"Bretonniere, Jean","Bardot, Brigitte","Boisrond, Michel",37.0,No
1959,90.0,Voulez-Vous Danser Avec Moi?,Comedy,"Vidal, Henri","Bardot, Brigitte","Boisrond, Michel",16.0,No
1967,100.0,"A Coeur Joie, (Head Over Heels)",Action,"Terzieff, Laurent","Bardot, Brigitte","Bourguignon, Serge",54.0,No
1968,113.0,Shalako,Westerns,"Connery, Sean","Bardot, Brigitte","Dmytryk, Edward",0.0,No
1964,102.0,Contempt,Drama,"Palance, Jack","Bardot, Brigitte","Godard, Jean-Luc",81.0,No
1965,100.0,Dear Brigitte,Comedy,"Mumy, Billy","Bardot, Brigitte","Koster, Henry",71.0,No
1962,134.0,A Very Private Affair,Drama,"Mastroianni, Marcello","Bardot, Brigitte","Malle, Louis",30.0,No
1964,99.0,The Ravishing Idiot,Comedy,"Perkins, Anthony","Bardot, Brigitte","Molinaro, Edouard",34.0,No
1958,90.0,The Bride Is Much Too Beautiful,Comedy,"Jourdan, Louis","Bardot, Brigitte","Surin, Fred",70.0,No
1955,90.0,Doctor at Sea,Comedy,"Bogarde, Dirk","Bardot, Brigitte","Thomas, Ralph",83.0,No
1962,100.0,"Le Repos Du Guerrier, (Warrior's Rest)",War,"Hossein, Robert","Bardot, Brigitte","Vadim, Roger",8.0,No
1957,90.0,And God Created Woman,Drama,"Jurgens, Curt","Bardot, Brigitte","Vadim, Roger",29.0,No
1973,87.0,Ms. Don Juan,Drama,"Ronet, Maurice","Bardot, Brigitte","Vadim, Roger",39.0,No
1987,97.0,Siesta,Drama,"Byrne, Gabriel","Barkin, Ellen","Lambert, Mary",48.0,No
1932,92.0,Rich & Strange,Drama,"Kendall, Henry","Barry, Joan","Hitchcock, Alfred",57.0,No
1987,104.0,Lionheart,Action,"Stoltz, Eric","Barrymore, Deborah","Schaffner, Franklin J.",9.0,No
1982,115.0,E. T. The Extra-Terrestrial,Science Fiction,"Wallace, Dee","Barrymore, Drew","Spielberg, Steven",8.0,Yes
1992,101.0,Cool World,Drama,"Byrne, Gabriel","Basinger, Kim","Bakshi, Ralph",44.0,No
1988,83.0,Nadine,Comedy,"Bridges, Jeff","Basinger, Kim","Benton, Robert",47.0,No
1989,126.0,Batman,Action,"Nicholson, Jack","Basinger, Kim","Burton, Tim",14.0,No
1987,95.0,Blind Date,Comedy,"Willis, Bruce","Basinger, Kim","Edwards, Blake",7.0,No
1982,101.0,Mother Lode,Action,"Heston, Charlton","Basinger, Kim","Heston, Charlton",40.0,No
1992,125.0,Final Analysis,Drama,"Gere, Richard","Basinger, Kim","Joanou, Phil",50.0,No
1983,134.0,Never Say Never Again,Action,"Connery, Sean","Basinger, Kim","Kershner, Irvin",8.0,No
1986,117.0,Nine & a Half Weeks,Drama,"Rourke, Mickey","Basinger, Kim","Lyne, Adrian",7.0,No
1989,120.0,Killjoy,Mystery,"Culp, Robert","Basinger, Kim","Moxey, John Llewellyn",71.0,No
1986,108.0,No Mercy,Drama,"Gere, Richard","Basinger, Kim","Pearce, Richard",11.0,No
1991,116.0,The Marrying Man,Comedy,"Baldwin, Alec","Basinger, Kim","Rees, Jerry",84.0,No
1990,123.0,Misery,Horror,"Caan, James","Bates, Kathy","Reiner, Rob",48.0,Yes
1946,93.0,Crisis,Drama,"Andersson, Wiktor","Baude, Anna-Lisa","Bergman, Ingmar",66.0,No
1984,95.0,Samson & Delilah,Drama,"Hamilton, Antony","Bauer, Belinda","Philips, Lee",36.0,No
1990,101.0,Act of Piracy,Mystery,"Busey, Gary","Bauer, Belinda",Unknown,74.0,No
1988,96.0,Split Decisions,Drama,"Hackman, Gene","Beals, Jennifer","Drury, David",52.0,No
1989,103.0,Vampire's Kiss,Comedy,"Cage, Nicolas","Beals, Jennifer",Unknown,49.0,No
1988,96.0,Nightmare at Noon,Action,"Hauser, Wings","Beck, Kimberly","Mastorakis, Nico",0.0,No
1990,127.0,Presumed Innocent,Mystery,"Ford, Harrison","Bedelia, Bonnie","Pakula, Alan J.",69.0,No
1942,123.0,Reap the Wild Wind,Drama,"Wayne, John","Beecher, Janet","DeMille, Cecil B.",59.0,No
1972,100.0,Pocket Money,Comedy,"Newman, Paul","Belford, Christine","Rosenberg, Stuart",55.0,No
1977,102.0,Mary White,Drama,"Flanders, Ed","Beller, Kathleen","Taylor, Jud",2.0,No
1982,120.0,"Catch a Rising Star, Tenth Anniversary",Comedy,"Belzer, Richard","Benatar, Pat",Unknown,18.0,No
1990,105.0,Guilty by Suspicion,Drama,"De Niro, Robert","Bening, Annette","Winkler, Irwin",88.0,No
1948,99.0,Secret Beyond the Door,Mystery,"Redgrave, Michael","Bennett, Joan","Lang, Fritz",31.0,No
1945,103.0,Scarlet Street,Drama,"Robinson, Edward G.","Bennett, Joan","Lang, Fritz",80.0,No
1988,76.0,Daffy Duck's Quackbusters,Action,"Blanc, Mel","Bennett, Julie","Ford, Greg",68.0,No
1985,55.0,Rowlf's Rhapsodies with the Muppets,Comedy,"Burns, George","Berenson, Marisa",Unknown,79.0,No
1982,188.0,Gandhi,Drama,"Kingsley, Ben","Bergen, Candice","Attenborough, Richard",7.0,Yes
1975,120.0,The Wind & the Lion,Action,"Connery, Sean","Bergen, Candice","Milius, John",2.0,No
1971,96.0,Carnal Knowledge,Drama,"Nicholson, Jack","Bergen, Candice","Nichols, Mike",10.0,No
1970,126.0,Getting Straight,Comedy,"Gould, Elliott","Bergen, Candice","Rush, Richard",83.0,No
1972,90.0,The Scarlet Letter,Drama,"Albaicín, Rafael","Berger, Senta","Wenders, Wim",55.0,No
1935,75.0,The Count of Old Town,Comedy,"Adolphson, Edvin","Bergman, Ingrid","Adolphson, Edvin",72.0,No
1978,97.0,Autumn Sonata,Drama,"Björk, Halvar","Bergman, Ingrid","Bergman, Ingmar",49.0,Yes
1944,114.0,Gaslight,Drama,"Boyer, Charles","Bergman, Ingrid","Cukor, George",25.0,Yes
1958,100.0,Indiscreet,Drama,"Grant, Cary","Bergman, Ingrid","Donen, Stanley",1.0,No
1941,75.0,Walpurgis Night,Drama,"Sjöström, Victor","Bergman, Ingrid","Edgren, Gustaf",32.0,No
1948,100.0,Joan of Arc,Drama,"Ferrer, Jose","Bergman, Ingrid","Fleming, Victor",7.0,No
1982,195.0,A Woman Called Golda,Drama,"Beatty, Ned","Bergman, Ingrid","Gibson, Alan",15.0,Yes
1969,98.0,A Walk in the Spring Rain,Drama,"Quinn, Anthony","Bergman, Ingrid","Green, Guy",2.0,No
1949,117.0,Under Capricorn,Drama,"Cotten, Joseph","Bergman, Ingrid","Hitchcock, Alfred",74.0,No
1946,101.0,Notorious,Mystery,"Grant, Cary","Bergman, Ingrid","Hitchcock, Alfred",42.0,No
1940,90.0,June Night,Drama,"Widgren, Olof","Bergman, Ingrid","Lindberg, Per",14.0,No
1961,120.0,Goodbye Again,Drama,"Perkins, Anthony","Bergman, Ingrid","Litvak, Anatole",6.0,No
1956,106.0,Anastasia,Drama,"Tamiroff, Akim","Bergman, Ingrid","Litvak, Anatole",24.0,Yes
1945,126.0,The Bells of St. Mary's,Drama,"Crosby, Bing","Bergman, Ingrid","McCarey, Leo",31.0,No
1937,91.0,Intermezzo,Drama,"Ekman, Gösta","Bergman, Ingrid","Molander, Gustaf",32.0,No
1938,104.0,A Woman's Face,Drama,"Svennberg, Tore","Bergman, Ingrid","Molander, Gustaf",49.0,No
1935,90.0,Swedenhielms,Drama,"Westergren, Håkan","Bergman, Ingrid","Molander, Gustaf",88.0,No
1939,87.0,Only One Night,Drama,"Adolphson, Edvin","Bergman, Ingrid","Molander, Gustav",26.0,No
1938,74.0,Dollar,Drama,"Rydeberg, Georg","Bergman, Ingrid","Molander, Gustav",19.0,No
1956,98.0,Elena & Her Men,Drama,"Ferrer, Mel","Bergman, Ingrid","Renoir, Jean",33.0,No
1952,110.0,Europa Fifty-One,Drama,"Knox, Alexander","Bergman, Ingrid","Rossellini, Roberto",34.0,No
1953,83.0,Voyage in Italy,Drama,"Sanders, George","Bergman, Ingrid","Rossellini, Roberto",57.0,No
1954,81.0,Fear,Drama,"Wieman, Mathias","Bergman, Ingrid","Rossellini, Roberto",69.0,No
1950,107.0,Stromboli,Drama,"Vitale, Mario","Bergman, Ingrid","Rossellini, Roberto",69.0,No
1969,103.0,Cactus Flower,Comedy,"Matthau, Walter","Bergman, Ingrid","Saks, Gene",67.0,Yes
1989,105.0,Hideaways,Comedy,"Conover, Bruce","Bergman, Ingrid",Unknown,16.0,No
1990,90.0,Twenty Four Hours in a Woman's Life,Drama,"Torn, Rip","Bergman, Ingrid",Unknown,16.0,No
1987,91.0,Programmed to Kill,Action,"Ginty, Robert","Bergman, Sandahl","Holzman, Allan",71.0,No
1982,128.0,Conan the Barbarian,Action,"Schwarzenegger, Arnold","Bergman, Sandahl","Milius, John",45.0,No
1991,91.0,Raw Nerve,Mystery,"Ford, Glenn","Bergman, Sandahl","Prior, David A.",88.0,No
1970,94.0,Think Dirty,Comedy,"Feldman, Marty","Berman, Shelley","Clark, Jim",31.0,No
1982,108.0,King of Comedy,Drama,"De Niro, Robert","Bernhard, Sandra","Scorsese, Martin",84.0,No
1983,60.0,The Best of the Big Laff Off,Comedy,"Murphy, Eddie","Bernhard, Sandra",Unknown,20.0,No
1984,158.0,Amadeus,Drama,"Abraham, F. Murray","Berridge, Elizabeth","Forman, Milos",6.0,Yes
1973,101.0,White Lightning,Action,"Reynolds, Burt","Billingsley, Jennifer","Sargent, Joseph",54.0,No
1988,172.0,The Unbearable Lightness of Being,Drama,"Day-Lewis, Daniel","Binoche, Juliette","Kaufman, Philip",5.0,Yes
1972,124.0,The Life & Times of Judge Roy Bean,Western,"Newman, Paul","Bisset, Jacqueline","Huston, John",65.0,No
1970,137.0,Airport,Drama,"Lancaster, Burt","Bisset, Jacqueline","Seaton, George",0.0,Yes
1973,116.0,Day for Night,Drama,"Aumont, Jean-Pierre","Bisset, Jacqueline","Truffaut, François",10.0,Yes
1952,107.0,Secrets of Women,Comedy,"Malmsten, Birger","Björk, Anita","Bergman, Ingmar",66.0,No
1976,116.0,Burnt Offerings,Horror,"Reed, Oliver","Black, Karen","Curtis, Dan",35.0,No
1969,94.0,Easy Rider,Drama,"Fonda, Peter","Black, Karen","Hopper, Dennis",36.0,No
1991,98.0,Five Easy Pieces,Drama,"Nicholson, Jack","Black, Karen","Rafelson, Bob",2.0,No
1974,144.0,The Day of the Locust,Drama,"Sutherland, Donald","Black, Karen","Schlesinger, John",81.0,No
1964,112.0,Goldfinger,Action,"Connery, Sean","Blackman, Honor","Hamilton, Guy",77.0,No
1977,117.0,The Exorcist II Heretic,Horror,"Burton, Richard","Blair, Linda","Boorman, John",29.0,No
1953,61.0,White Lightning,Unknown,"Clements, Stanley","Blondell, Gloria","Bernds, Edward",50.0,No
1942,88.0,Lady for a Night,Drama,"Wayne, John","Blondell, Joan","Leigh, Jason",12.0,No
1968,103.0,Charly,Drama,"Robertson, Cliff","Bloom, Claire","Nelson, Ralph",38.0,Yes
1973,105.0,High Plains Drifter,Western,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint",57.0,No
1982,123.0,Honkytonk Man,Drama,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint",69.0,No
1990,102.0,Nightbreed,Horror,"Cronenberg, David","Bobby, Anne","Barker, Clive",72.0,No
1987,98.0,Under the Sun of Satan,Drama,"Depardieu, Gérard","Bonnaire, Sandrine","Pialat, Maurice",45.0,No
1985,105.0,Vagabond,Drama,"Meril, Macha","Bonnaire, Sandrine","Varda, Agnes",49.0,No
1993,60.0,"Bill Cosby, Live at Harrah's",Comedy,"Cosby, Bill","Boosler, Elayne",Unknown,13.0,No
1974,89.0,Monty Python & the Holy Grail,Comedy,"Chapman, Graham","Booth, Connie","Gilliam, Terry",83.0,No
1993,65.0,John Cleese on How to Irritate People,Comedy,"Cleese, John","Booth, Connie",Unknown,62.0,No
1958,101.0,The Matchmaker,Comedy,"Perkins, Anthony","Booth, Shirley","Anthony, Joseph",67.0,No
1981,129.0,For Your Eyes Only,Action,"Moore, Roger","Bouquet, Carole","Glen, John",86.0,No
1928,139.0,Wings,War,"Rogers, Buddy","Bow, Clara","Wellman, William",44.0,Yes
1992,106.0,Medicine Man,Action,"Connery, Sean","Bracco, Lorraine","McTiernan, John",6.0,No
1989,120.0,Good Fellas,Drama,"De Niro, Robert","Bracco, Lorraine","Scorsese, Martin",15.0,No
1985,119.0,Kiss of the Spider Woman,Drama,"Hurt, William","Braga, Sonia","Babenco, Hector",10.0,Yes
1990,121.0,"Rookie, THe",Action,"Eastwood, Clint","Braga, Sonia","Eastwood, Clint",48.0,No
1973,129.0,The Sting,Drama,"Newman, Paul","Brennan, Eileen","Hill, George Roy",83.0,Yes
1958,96.0,Torpedo Run,War,"Ford, Glenn","Brewster, Diane","Pevney, Joseph",50.0,No
1986,101.0,Instant Justice,Drama,"Paré, Michael","Bridges, Lynda","Rumar, Craig",45.0,No
1990,135.0,Cyrano de Bergerac,Drama,"Depardieu, Gérard","Brochet, Anne","Rappeneau, Jean-Paul",76.0,No
1948,110.0,Border Street,Drama,"Fijewski, Tadeusz","Broniewska, Maria","Ford, Aleksander",73.0,No
1987,91.0,Firehouse,Comedy,"Hopkins, Barrett","Brown, Violet","Ingvordsen, J. Christian",66.0,No
1965,123.0,Morituri,Drama,"Brando, Marlon","Brynner, Yul","Wicki, Bernhard",9.0,No
1980,104.0,From the Life of the Marionettes,Drama,"Atzorn, Robert","Buchegger, Christine","Bergman, Ingmar",58.0,No
1988,120.0,Frantic,Mystery,"Ford, Harrison","Buckley, Betty","Polanski, Roman",17.0,No
1978,114.0,Coma,Science Fiction,"Douglas, Michael","Bujold, Geneviève","Crichton, Michael",64.0,No
1988,117.0,Dead Ringers,Drama,"Irons, Jeremy","Bujold, Geneviève","Cronenberg, David",29.0,No
1988,90.0,Golden Ninja Invasion,Action,"West, Leonard","Burd, Stephanie","Lambert, Bruce",13.0,No
1973,122.0,The Exorcist,Horror,"Sydow, Max von","Burstyn, Ellen","Friedkin, William",28.0,Yes
1975,112.0,Alice Doesn't Live Here Anymore,Comedy,"Kristofferson, Kris","Burstyn, Ellen",Unknown,82.0,Yes
1982,94.0,The Eyes of the Amaryllis,Drama,"Bolt, Jonathan","Byrne, Martha","King Keller, Frederick",70.0,No
1952,109.0,What Price Glory?,War,"Cagney, James","Calvet, Corinne","Ford, John",4.0,No
1954,40.0,Inauguration of the Pleasure Dome,Short,"De Brier, Sampson","Cameron, Marjorie","Anger, Kenneth",62.0,No
1989,114.0,School Daze,Comedy,"Fishburne, Larry","Campbell, Tisha","Lee, Spike",18.0,No
1990,102.0,The End of Innocence,Drama,"Heard, John","Cannon, Dyan","Cannon, Dyan",6.0,No
1971,98.0,The Anderson Tapes,Mystery,"Connery, Sean","Cannon, Dyan","Lumet, Sidney",1.0,No
1983,50.0,"Father Murphy, A Horse from Heaven",Comedy,"Olsen, Merlin","Cannon, Katharine","Claxton, William F.",28.0,No
1989,80.0,Skull,Drama,"Bideman, Robert","Capone, Nadia","Bergman, Robert",19.0,No
1987,91.0,The Quick & The Dead,Western,"Elliott, Sam","Capshaw, Kate","Day, Robert",40.0,No
1984,94.0,Best Defense,Comedy,"Moore, Dudley","Capshaw, Kate","Huyck, Willard",75.0,No
1984,99.0,Dreamscape,Science Fiction,"Quaid, Dennis","Capshaw, Kate","Ruben, Joseph",63.0,No
1989,125.0,Black Rain,Action,"Douglas, Michael","Capshaw, Kate","Scott, Ridley",73.0,No
1963,138.0,8 1/2,Drama,"Mastroianni, Marcello","Cardinale, Claudia","Fellini, Federico",80.0,Yes
1935,64.0,One Frightened Night,Horror,"Ford, Wallace","Carlisle, Mary","Cabanne, Christy",33.0,No
1988,103.0,The Year My Voice Broke,Drama,"Taylor, Noah","Carmen, Loene","Duigan, John",71.0,No
1966,175.0,Is Paris Burning?,War,"Belmondo, Jean-Paul","Caron, Leslie","Clément, René",63.0,No
1974,313.0,QB VII,Drama,"Hopkins, Anthony","Caron, Leslie","Gries, Tom",28.0,Yes
1977,104.0,The Island of Dr. Moreau,Horror,"Lancaster, Burt","Carrera, Barbara","Taylor, Don",54.0,No
1983,104.0,Beyond the Limit,Drama,"Caine, Michael","Carrillo, Elpidia","Mackenzie, John",51.0,No
1936,84.0,Secret Agent,Mystery,"Lorre, Peter","Carroll, Madeleine","Hitchcock, Alfred",50.0,No
1986,71.0,Paramount Comedy Theater: Well-Developed,Comedy,"Mahler, Bruce","Carter, Judy",Unknown,40.0,No
1972,71.0,The Big Bust Out,Action,"Kendall, Tony","Carter, Karen","Theumer, Ernst R. von",50.0,No
1987,119.0,The Fourth Protocol,Mystery,"Caine, Michael","Cassidy, Joanna","Mackenzie, John",14.0,No
1990,107.0,Gremlins 2: The New Batch,Comedy,"Galligan, Zach","Cates, Phoebe","Dante, Joe",61.0,No
1982,92.0,Fast Times at Ridgemont High,Comedy,"Penn, Sean","Cates, Phoebe","Heckerling, Amy",65.0,No
1987,120.0,Mannequin,Comedy,"McCarthy, Andrew","Cattrall, Kim","Gottlieb, Michael",23.0,No
1977,91.0,Rabid,Horror,"Moore, Frank","Chambers, Marilyn","Cronenberg, David",34.0,No
1990,120.0,The Party,Comedy,"Sellers, Peter","Champion, Marge","Edwards, Blake",32.0,No
1989,90.0,"Vampire Raiders, Ninja Queen",Action,"Peterson, Chris","Chan, Agnes","Lambert, Bruce",15.0,No
1970,26.0,Bloopers from Star Trek,Comedy,"Lawford, Peter","Channing, Carol",Unknown,22.0,No
